h2_p	N_causal_SNPs	vr	freq_r	k	N_samples	seed	median_mut	median_ref	p_wilcox	h2_rare	penetrance	h2_poly_est	var_y	mean_prs	mean_prs_cases	r_prs_est_with_rv	r_prs_est_without_rv	mean_prs_cases_est_with_rv	mean_prs_cases_est_without_rv
0.5	100	0.01	0.01	0.05	20000	38	0.684477128	0.927735201	0.184640259	0.01	0.24	0.407116276	1	4.36E-18	0.915650932	0.96787478	0.96750399	0.268340508	0.296144703
0.5	100	0.01	0.01	0.05	20000	39	0.90958383	0.848659483	0.318141776	0.01	0.196078431	0.400579174	1	1.66E-18	0.884618327	0.96356346	0.962908452	0.091202496	0.1205173
0.5	100	0.01	0.01	0.05	20000	40	0.494869849	0.867425837	0.020491507	0.01	0.235294118	0.399003233	1	4.76E-17	0.842218934	0.963341526	0.963045209	0.086055204	0.117522082
0.5	100	0.01	0.01	0.05	20000	41	0.496641964	0.902988199	0.025675315	0.01	0.232142857	0.394729857	1	4.92E-17	0.84402513	0.965937212	0.965211548	0.012080027	0.034542168
0.5	100	0.01	0.01	0.05	20000	42	0.641566228	0.977490273	0.053796623	0.01	0.237288136	0.414005248	1	3.26E-17	0.920633408	0.967690265	0.966462771	0.139548289	0.178365824
0.5	100	0.01	0.01	0.05	20000	43	0.86361226	0.978449746	0.495451204	0.01	0.13559322	0.410118658	1	-2.56E-17	0.952565505	0.968003208	0.968616424	0.135781952	0.162841668
0.5	100	0.01	0.01	0.05	20000	44	0.677292449	0.751246797	0.544787973	0.01	0.215686275	0.413416727	1	4.69E-17	0.790633421	0.97107939	0.970513605	0.050403689	0.07451086
0.5	100	0.01	0.01	0.05	20000	45	0.491775436	0.798909085	0.161926577	0.01	0.229166667	0.408215005	1	1.80E-17	0.845572939	0.967627419	0.969513199	0.074669804	0.104788882
0.5	100	0.01	0.01	0.05	20000	46	0.753266621	0.983006223	0.088742261	0.01	0.150943396	0.426481144	1	-4.27E-17	0.960830529	0.956614792	0.956465403	0.067884828	0.097914582
0.5	100	0.01	0.01	0.05	20000	47	0.435544401	0.904364241	0.066269294	0.01	0.105263158	0.40745336	1	-6.28E-17	0.891272667	0.966322298	0.967040415	0.076563811	0.098356536
0.5	100	0.01	0.01	0.05	20000	48	0.469818666	0.812368008	0.006823021	0.01	0.276595745	0.388081819	1	3.65E-19	0.80598813	0.96736	0.967312645	0.132067323	0.157491807
0.5	100	0.01	0.01	0.05	20000	49	0.339728931	0.884457106	0.003119643	0.01	0.264150943	0.414118011	1	-2.39E-17	0.848223148	0.967790234	0.967923151	-0.024716288	0.00326659
0.5	100	0.01	0.01	0.05	20000	50	0.337210402	0.911523668	0.000157515	0.01	0.196721311	0.414370156	1	-5.61E-17	0.862907819	0.971416543	0.97102194	0.052648721	0.076282442
0.5	100	0.01	0.01	0.05	20000	51	0.2084984	0.93485734	0.004759984	0.01	0.117647059	0.417692104	1	-2.99E-18	0.891261612	0.960955923	0.959543088	-0.104155967	-0.075275151
0.5	100	0.01	0.01	0.05	20000	52	0.22437087	0.940268907	0.037923851	0.01	0.172413793	0.414105352	1	-3.63E-18	0.91361568	0.963842567	0.963609775	0.077774986	0.10679867
0.5	100	0.01	0.01	0.05	20000	53	0.552794921	0.781898272	0.123378275	0.01	0.192307692	0.407124228	1	-4.28E-17	0.841467411	0.969357844	0.968854683	0.044959183	0.0747038
0.5	100	0.01	0.01	0.05	20000	54	0.097187318	0.925408482	0.00124342	0.01	0.155172414	0.411774007	1	-2.43E-18	0.845426781	0.964076519	0.963085293	0.059334612	0.094262117
0.5	100	0.01	0.01	0.05	20000	55	0.580840399	0.899336725	0.098557784	0.01	0.137931034	0.394195062	1	6.03E-17	0.824113764	0.964048941	0.964625777	0.119949984	0.141488823
0.5	100	0.01	0.01	0.05	20000	56	0.401578241	0.98155512	0.002806363	0.01	0.254237288	0.396983653	1	1.64E-17	0.900856563	0.96182491	0.962146946	0.146637307	0.185102271
0.5	100	0.01	0.01	0.05	20000	57	0.654180671	0.920707126	0.176010258	0.01	0.194805195	0.406378056	1	-4.30E-17	0.849632763	0.962556109	0.962249298	0.078118573	0.105931627
0.5	100	0.01	0.01	0.05	20000	58	0.556514245	0.939744267	0.060102346	0.01	0.12962963	0.408080511	1	9.51E-17	0.937201296	0.975966844	0.97666813	-0.080871167	-0.055047273
0.5	100	0.01	0.01	0.05	20000	59	0.668932265	0.911614673	0.161304308	0.01	0.14516129	0.408992786	1	4.46E-18	0.886544557	0.96789552	0.968157969	-0.02444552	-0.007466499
0.5	100	0.01	0.01	0.05	20000	60	0.58766549	0.859610249	0.121137089	0.01	0.20754717	0.418511299	1	7.94E-17	0.854071917	0.970192798	0.970025343	0.077256514	0.098381195
0.5	100	0.01	0.01	0.05	20000	61	0.646109892	0.784706311	0.352124781	0.01	0.185185185	0.414205426	1	-3.49E-17	0.83179518	0.969489096	0.969103963	0.006021561	0.036307311
0.5	100	0.01	0.01	0.05	20000	62	0.180297919	0.895029229	0.000132963	0.01	0.232142857	0.421377846	1	-9.30E-19	0.885319564	0.968856246	0.97000385	-0.003808802	0.02808715
0.5	100	0.01	0.01	0.05	20000	63	0.407891206	0.897951356	0.072801406	0.01	0.125	0.417363113	1	1.74E-18	0.873237663	0.966350462	0.966511351	-0.138274084	-0.11369985
0.5	100	0.01	0.01	0.05	20000	64	0.626334924	0.817071651	0.181095396	0.01	0.173076923	0.411987206	1	8.36E-17	0.904377305	0.977751314	0.97710715	-0.053067556	-0.034601136
0.5	100	0.01	0.01	0.05	20000	65	0.568187013	0.912475743	0.044849226	0.01	0.275862069	0.405791182	1	-1.36E-18	0.856904886	0.972041905	0.972180782	0.164474551	0.195536465
0.5	100	0.01	0.01	0.05	20000	66	0.578635095	0.927661254	0.318141776	0.01	0.161290323	0.419526202	1	1.54E-17	0.89242147	0.968672693	0.969275398	-0.126755437	-0.102595168
0.5	100	0.01	0.01	0.05	20000	67	0.666481617	0.927267892	0.155549485	0.01	0.188679245	0.403876471	1	-3.01E-17	0.884815445	0.964206935	0.963461123	0.21885629	0.248276127
0.5	100	0.01	0.01	0.05	20000	68	0.472223125	0.847664792	0.073419492	0.01	0.209677419	0.411980358	1	-9.02E-18	0.844482112	0.962017427	0.960929151	0.117481165	0.144052121
0.5	100	0.01	0.01	0.05	20000	69	0.569297454	0.952131277	0.123205774	0.01	0.152173913	0.419532624	1	-4.05E-18	0.933203683	0.976020475	0.975124571	-0.140913174	-0.116444968
0.5	100	0.01	0.01	0.05	20000	70	0.794755826	0.915173877	0.474534719	0.01	0.148148148	0.410129852	1	4.31E-18	0.911732864	0.971169948	0.971230722	0.030974883	0.056588469
0.5	100	0.01	0.01	0.05	20000	71	0.674710766	0.917612633	0.112737711	0.01	0.111111111	0.39872511	1	-3.56E-17	0.8848645	0.959764493	0.959214611	0.070925896	0.091186009
0.5	100	0.01	0.01	0.05	20000	72	0.238275458	0.890098238	0.020042588	0.01	0.118644068	0.420348211	1	-4.26E-17	0.811208068	0.96982513	0.969449462	0.012915797	0.032450697
0.5	100	0.01	0.01	0.05	20000	73	0.60442266	0.879830712	0.057004219	0.01	0.164179104	0.407771949	1	-5.51E-17	0.833319601	0.962655115	0.961804394	0.061360906	0.088606215
0.5	100	0.01	0.01	0.05	20000	74	0.494972754	0.965903958	0.001201296	0.01	0.222222222	0.419810735	1	-2.38E-17	0.914798322	0.966983196	0.967227222	0.019648541	0.036877125
0.5	100	0.01	0.01	0.05	20000	75	0.580873106	0.904529038	0.013251378	0.01	0.15	0.400301733	1	2.90E-17	0.882178665	0.972133383	0.971052467	-0.048864588	-0.024362329
0.5	100	0.01	0.01	0.05	20000	76	0.541333076	0.884902041	0.040402563	0.01	0.14516129	0.408108357	1	9.12E-18	0.902895324	0.974836751	0.973891851	0.015062	0.037045562
0.5	100	0.01	0.01	0.05	20000	77	0.474102932	0.889790751	0.009648725	0.01	0.183333333	0.407696408	1	-5.67E-17	0.873016143	0.965589826	0.964960696	0.063690577	0.087125918
0.5	100	0.01	0.01	0.05	20000	78	0.600907888	0.955354874	0.079424333	0.01	0.212121212	0.41450733	1	5.51E-18	0.914176509	0.972325785	0.971905805	0.056460176	0.085248493
0.5	100	0.01	0.01	0.05	20000	79	0.33553369	0.906793498	0.031359133	0.01	0.160714286	0.418470018	1	-3.34E-17	0.882766316	0.975271945	0.974496879	0.058326382	0.083020075
0.5	100	0.01	0.01	0.05	20000	80	0.592078672	0.893105692	0.061432041	0.01	0.228070175	0.409046035	1	7.00E-17	0.859383416	0.968140287	0.967252422	0.110451741	0.14400247
0.5	100	0.01	0.01	0.05	20000	81	0.710940433	0.880051179	0.17553638	0.01	0.266666667	0.40881906	1	-2.93E-17	0.858402819	0.964809169	0.965095713	0.168590585	0.199901029
0.5	100	0.01	0.01	0.05	20000	82	0.59034056	0.774862124	0.026121015	0.01	0.209677419	0.404909955	1	7.12E-17	0.824281704	0.961395722	0.961324461	-0.020197273	0.009768077
0.5	100	0.01	0.01	0.05	20000	83	0.401507055	0.886102084	0.002081357	0.01	0.176470588	0.4183199	1	-1.80E-17	0.879197746	0.97084465	0.970326823	-0.115303159	-0.08971717
0.5	100	0.01	0.01	0.05	20000	84	0.507439405	0.874409978	0.043525828	0.01	0.166666667	0.414984451	1	-1.97E-17	0.883974588	0.968217666	0.968583882	0.038069076	0.058917602
0.5	100	0.01	0.01	0.05	20000	85	0.400941924	0.924291084	0.014215386	0.01	0.208955224	0.402561929	1	3.49E-17	0.829145412	0.972476579	0.971534324	0.078870424	0.104711562
0.5	100	0.01	0.01	0.05	20000	86	0.490704265	0.972591508	0.017009666	0.01	0.179104478	0.427494071	1	-3.76E-17	0.910851442	0.972360589	0.971896191	0.065757653	0.098300952
0.5	100	0.01	0.01	0.05	20000	87	0.349562035	0.900769183	0.000488636	0.01	0.216666667	0.408070261	1	-8.33E-18	0.860114888	0.96181554	0.960232059	0.015124999	0.043175014
0.5	100	0.01	0.01	0.05	20000	88	0.94841084	0.922437685	0.583751301	0.01	0.2	0.394237637	1	-4.88E-17	0.884438061	0.962337144	0.963003137	0.178062358	0.210450558
0.5	100	0.01	0.01	0.05	20000	89	0.66505977	0.815795471	0.424134724	0.01	0.160714286	0.400806879	1	5.50E-17	0.82376802	0.975667194	0.975517475	0.011887469	0.035234736
0.5	100	0.01	0.01	0.05	20000	90	0.700336912	0.861792206	0.636523652	0.01	0.117647059	0.411642673	1	-1.14E-18	0.868885519	0.97566084	0.973943166	0.060805927	0.086534864
0.5	100	0.01	0.01	0.05	20000	91	0.735925855	0.877801291	0.991709218	0.01	0.230769231	0.418618506	1	-4.34E-18	0.886255733	0.960160621	0.959403396	-0.005362565	0.022987706
0.5	100	0.01	0.01	0.05	20000	92	0.402012199	0.862202157	0.03330258	0.01	0.158730159	0.404932495	1	-3.09E-17	0.840971609	0.970012824	0.969843342	0.119072528	0.147682398
0.5	100	0.01	0.01	0.05	20000	93	0.611462677	0.917627567	0.021858139	0.01	0.241935484	0.431188701	1	-3.92E-17	0.910048933	0.966717123	0.966317799	0.073130678	0.101854011
0.5	100	0.01	0.01	0.05	20000	94	0.344233669	0.906181065	0.009159273	0.01	0.238095238	0.396602087	1	3.74E-17	0.856801345	0.97203153	0.971854342	0.009968106	0.042077186
0.5	100	0.01	0.01	0.05	20000	95	0.533194432	0.859309518	0.072349784	0.01	0.178571429	0.403052718	1	-9.55E-18	0.850035967	0.968063655	0.967719178	0.035977514	0.065112489
0.5	100	0.01	0.01	0.05	20000	96	0.775518346	0.990245123	0.164533826	0.01	0.14	0.445256175	1	2.57E-18	0.923822341	0.976047895	0.97614789	-0.047030832	-0.021686517
0.5	100	0.01	0.01	0.05	20000	97	0.836039725	0.923123637	0.924928787	0.01	0.083333333	0.405463441	1	-6.13E-17	0.93364732	0.963005591	0.963592034	-0.013908766	0.00895708
