h2_p,N_causal_SNPs,vr,freq_r,k,N_samples,power,penetrance,mean_prs_cases,h2_poly_est
0.1,100,0.05,0.01,0.02,3000,0.35,0.28150606111,0.213551655,0.09916512761
0.1,100,0.05,0.01,0.02,5000,0.5,0.29133711162,0.21571025049,0.09926895689
0.1,100,0.05,0.01,0.02,10000,0.82,0.29217821602,0.21513916368,0.09915308573
0.1,100,0.05,0.01,0.05,1000,0.17,0.45862901185,0.19095042191,0.0989248817
0.1,100,0.05,0.01,0.05,2000,0.4,0.45641680685,0.19209153663,0.09920932156
0.1,100,0.05,0.01,0.05,3000,0.59,0.46071948269,0.19159416562,0.09916512761
0.1,100,0.05,0.01,0.05,5000,0.74,0.46183100699,0.19283525756,0.09926895689
0.1,100,0.05,0.01,0.05,10000,0.98,0.46288621527,0.1931305353,0.09915308573
0.1,100,0.05,0.01,0.1,1000,0.22,0.60266751471,0.16610845439,0.0989248817
0.1,100,0.05,0.01,0.1,2000,0.55,0.60809887781,0.16878504632,0.09920932156
0.1,100,0.05,0.01,0.1,3000,0.64,0.61081976564,0.16814865742,0.09916512761
0.1,100,0.05,0.01,0.1,5000,0.87,0.61368332001,0.16821213487,0.09926895689
0.1,100,0.05,0.01,0.1,10000,0.98,0.61419129641,0.16895834358,0.09915308573
0.1,100,0.05,0.02,0.02,1000,0.09,0.15947731593,0.22496434808,0.0989248817
0.1,100,0.05,0.02,0.02,2000,0.2,0.15752660304,0.22332163869,0.09920932156
0.1,100,0.05,0.02,0.02,3000,0.25,0.1596903686,0.22305271911,0.09916512761
0.1,100,0.05,0.02,0.02,5000,0.31,0.15735530374,0.22535554201,0.09926895689
0.1,100,0.05,0.02,0.02,10000,0.54,0.15828740006,0.22573838467,0.09915308573
0.1,100,0.05,0.02,0.05,1000,0.14,0.2808533291,0.19612682232,0.0989248817
0.1,100,0.05,0.02,0.05,2000,0.22,0.28836915894,0.1961770032,0.09920932156
0.1,100,0.05,0.02,0.05,3000,0.38,0.28772261208,0.19533528546,0.09916512761
0.1,100,0.05,0.02,0.05,5000,0.62,0.28568708131,0.19597155591,0.09926895689
0.1,100,0.05,0.02,0.05,10000,0.87,0.28838641949,0.19745645515,0.09915308573
0.1,100,0.05,0.02,0.1,1000,0.2,0.42331027573,0.16868783458,0.0989248817
0.1,100,0.05,0.02,0.1,2000,0.29,0.42365056009,0.17225675371,0.09920932156
0.1,100,0.05,0.02,0.1,3000,0.48,0.42776424519,0.16983798522,0.09916512761
0.1,100,0.05,0.02,0.1,5000,0.72,0.4292410286,0.17016577152,0.09926895689
0.1,100,0.05,0.02,0.1,10000,0.96,0.43128372364,0.17090204553,0.09915308573
0.1,100,0.1,0.005,0.02,1000,0.36,0.86288478395,0.15621277806,0.0989248817
0.1,100,0.1,0.005,0.02,2000,0.61,0.85451203427,0.15603875563,0.09920932156
0.1,100,0.1,0.005,0.02,3000,0.83,0.85031711949,0.15956707771,0.09916512761
0.1,100,0.1,0.005,0.02,5000,0.96,0.85384033667,0.16481582003,0.09926895689
0.1,100,0.1,0.005,0.02,10000,0.99,0.85319918616,0.16447134934,0.09915308573
0.1,100,0.1,0.005,0.05,1000,0.52,0.9490682055,0.17882586743,0.0989248817
0.1,100,0.1,0.005,0.05,2000,0.79,0.94776017917,0.18269589556,0.09920932156
0.1,100,0.1,0.005,0.05,3000,0.89,0.94148359344,0.18249158511,0.09916512761
0.1,100,0.1,0.005,0.05,5000,0.99,0.94348934522,0.18311329874,0.09926895689
0.1,100,0.1,0.005,0.05,10000,1,0.94317020759,0.18373419762,0.09915308573
0.1,100,0.1,0.005,0.1,1000,0.5,0.97877273915,0.16767188967,0.0989248817
0.1,100,0.1,0.005,0.1,2000,0.73,0.97873729954,0.17049613621,0.09920932156
0.1,100,0.1,0.005,0.1,3000,0.85,0.97778889523,0.16956056946,0.09916512761
0.1,100,0.1,0.005,0.1,5000,0.98,0.9773113596,0.16975428146,0.09926895689
0.1,100,0.1,0.005,0.1,10000,1,0.97562979417,0.17074397597,0.09915308573
0.1,100,0.1,0.01,0.02,1000,0.2,0.50111422363,0.17506274351,0.0989248817
0.1,100,0.1,0.01,0.02,2000,0.48,0.50835474819,0.16693656612,0.09920932156
0.1,100,0.1,0.01,0.02,3000,0.73,0.51608090714,0.16830333102,0.09916512761
0.1,100,0.1,0.01,0.02,5000,0.91,0.51484409767,0.17450544208,0.09926895689
0.1,100,0.1,0.01,0.02,10000,1,0.51747230069,0.17186989778,0.09915308573
0.1,100,0.1,0.01,0.05,1000,0.51,0.71606465973,0.17562749344,0.0989248817
0.1,100,0.1,0.01,0.05,2000,0.82,0.71549512808,0.17347335564,0.09920932156
0.1,100,0.1,0.01,0.05,3000,0.9,0.71493427715,0.17549241162,0.09916512761
0.1,100,0.1,0.01,0.05,5000,1,0.71644623938,0.17721469488,0.09926895689
0.1,100,0.1,0.01,0.05,10000,1,0.71991162693,0.17698185918,0.09915308573
0.1,100,0.1,0.01,0.1,1000,0.56,0.84489115229,0.16204276801,0.0989248817
0.1,100,0.1,0.01,0.1,2000,0.84,0.84350286156,0.16354436154,0.09920932156
0.1,100,0.1,0.01,0.1,3000,0.95,0.84285407989,0.16288303938,0.09916512761
0.1,100,0.1,0.01,0.1,5000,0.99,0.83966790575,0.16366688724,0.09926895689
0.1,100,0.1,0.01,0.1,10000,1,0.84154333934,0.16444885067,0.09915308573
0.1,100,0.1,0.02,0.02,1000,0.21,0.26112977785,0.20021079573,0.0989248817
0.1,100,0.1,0.02,0.02,2000,0.25,0.2692080265,0.19335030321,0.09920932156
0.1,100,0.1,0.02,0.02,3000,0.46,0.27140720136,0.18994283244,0.09916512761
0.1,100,0.1,0.02,0.02,5000,0.67,0.26861793899,0.19666922245,0.09926895689
0.1,100,0.1,0.02,0.02,10000,0.91,0.26957472813,0.19850397306,0.09915308573
0.1,100,0.1,0.02,0.05,1000,0.3,0.45134077291,0.1805597154,0.0989248817
0.1,100,0.1,0.02,0.05,2000,0.56,0.45046542272,0.18280353813,0.09920932156
0.1,100,0.1,0.02,0.05,3000,0.82,0.45278772797,0.1823635064,0.09916512761
0.1,100,0.1,0.02,0.05,5000,0.95,0.45364350807,0.18211093635,0.09926895689
0.1,100,0.1,0.02,0.05,10000,1,0.45575121978,0.1832472678,0.09915308573
0.1,100,0.1,0.02,0.1,1000,0.44,0.61525267713,0.16176020006,0.0989248817
0.1,100,0.1,0.02,0.1,2000,0.72,0.61565123976,0.1646682256,0.09920932156
0.1,100,0.1,0.02,0.1,3000,0.91,0.61831683371,0.16373676589,0.09916512761
0.1,100,0.1,0.02,0.1,5000,1,0.61968118987,0.16335901933,0.09926895689
0.1,100,0.1,0.02,0.1,10000,1,0.62011289226,0.16404648636,0.09915308573
0.2,100,0.01,0.005,0.02,1000,0.04,0.14333176914,0.47361460742,0.1978497634
0.2,100,0.01,0.005,0.02,2000,0.04,0.13328382612,0.47129048788,0.19841864306
0.2,100,0.01,0.005,0.02,3000,0.03,0.13267442141,0.47079930277,0.19833025515
0.2,100,0.01,0.005,0.02,5000,0.17,0.13569558754,0.47783551168,0.19853791376
0.2,100,0.01,0.005,0.02,10000,0.32,0.13688241564,0.47510317685,0.19830617146
0.2,100,0.01,0.005,0.05,1000,0.09,0.2384853178,0.39743543287,0.1978497634
0.2,100,0.01,0.005,0.05,2000,0.1,0.24487142226,0.40268141586,0.19841864306
0.2,100,0.01,0.005,0.05,3000,0.15,0.24513885239,0.4057603797,0.19833025515
0.2,100,0.01,0.005,0.05,5000,0.16,0.24611469897,0.40645302218,0.19853791376
0.2,100,0.01,0.005,0.05,10000,0.46,0.24587636459,0.40702894406,0.19830617146
0.2,100,0.01,0.005,0.1,1000,0.11,0.35891251783,0.34163796605,0.1978497634
0.2,100,0.01,0.005,0.1,2000,0.16,0.3761615068,0.34614476596,0.19841864306
0.2,100,0.01,0.005,0.1,3000,0.23,0.37691957861,0.3455679077,0.19833025515
0.2,100,0.01,0.005,0.1,5000,0.3,0.37982661203,0.3468997061,0.19853791376
0.2,100,0.01,0.005,0.1,10000,0.59,0.37841467352,0.34696794418,0.19830617146
0.2,100,0.01,0.01,0.02,1000,0.03,0.09076486513,0.48023915467,0.1978497634
0.2,100,0.01,0.01,0.02,2000,0.05,0.0849512362,0.47273107036,0.19841864306
0.2,100,0.01,0.01,0.02,3000,0.09,0.08364183459,0.470740354,0.19833025515
0.2,100,0.01,0.01,0.02,5000,0.11,0.08650819167,0.47878887935,0.19853791376
0.2,100,0.01,0.01,0.02,10000,0.22,0.08651071448,0.47716534676,0.19830617146
0.2,100,0.01,0.01,0.05,1000,0.07,0.16866952328,0.40068431685,0.1978497634
0.2,100,0.01,0.01,0.05,2000,0.08,0.16369476683,0.40500417809,0.19841864306
0.2,100,0.01,0.01,0.05,3000,0.08,0.16569495208,0.40715667445,0.19833025515
0.2,100,0.01,0.01,0.05,5000,0.24,0.17259245178,0.40628851546,0.19853791376
0.2,100,0.01,0.01,0.05,10000,0.37,0.17019725862,0.40780068843,0.19830617146
0.2,100,0.01,0.01,0.1,1000,0.04,0.2748660229,0.34206947012,0.1978497634
0.2,100,0.01,0.01,0.1,2000,0.12,0.27144309845,0.34629990389,0.19841864306
0.2,100,0.01,0.01,0.1,3000,0.2,0.27176518814,0.3458315172,0.19833025515
0.2,100,0.01,0.01,0.1,5000,0.3,0.2801378838,0.34688170227,0.19853791376
0.2,100,0.01,0.01,0.1,10000,0.58,0.27766134302,0.34689690088,0.19830617146
0.2,100,0.01,0.02,0.02,1000,0.03,0.05868255155,0.47850489251,0.1978497634
0.2,100,0.01,0.02,0.02,2000,0.07,0.05943106023,0.47255476726,0.19841864306
0.2,100,0.01,0.02,0.02,3000,0.08,0.05987442046,0.47242105022,0.19833025515
0.2,100,0.01,0.02,0.02,5000,0.09,0.05827156043,0.47977493604,0.19853791376
0.2,100,0.01,0.02,0.02,10000,0.19,0.05851967803,0.4788343037,0.19830617146
0.2,100,0.01,0.02,0.05,1000,0.06,0.12665580823,0.40187489381,0.1978497634
0.2,100,0.01,0.02,0.05,2000,0.16,0.12561696746,0.40368611746,0.19841864306
0.2,100,0.01,0.02,0.05,3000,0.18,0.12712384583,0.40661004341,0.19833025515
0.2,100,0.01,0.02,0.05,5000,0.22,0.12513827643,0.40722397543,0.19853791376
0.2,100,0.01,0.02,0.05,10000,0.29,0.12610882292,0.40850651937,0.19830617146
0.2,100,0.01,0.02,0.1,1000,0.09,0.21049096029,0.3429433201,0.1978497634
0.2,100,0.01,0.02,0.1,2000,0.13,0.21591800512,0.34656051162,0.19841864306
0.2,100,0.01,0.02,0.1,3000,0.19,0.21755055351,0.34610921036,0.19833025515
0.2,100,0.01,0.02,0.1,5000,0.23,0.21509317275,0.34758541769,0.19853791376
0.2,100,0.01,0.02,0.1,10000,0.43,0.21589180763,0.34770322275,0.19830617146
0.2,100,0.02,0.005,0.02,1000,0.13,0.23772366278,0.46094812881,0.1978497634
0.2,100,0.02,0.005,0.02,2000,0.18,0.24073623013,0.45957496677,0.19841864306
0.2,100,0.02,0.005,0.02,3000,0.23,0.24032565505,0.45892316304,0.19833025515
0.2,100,0.02,0.005,0.02,5000,0.39,0.23838565353,0.4677822108,0.19853791376
0.2,100,0.02,0.005,0.02,10000,0.76,0.24037947237,0.464881211,0.19830617146
0.2,100,0.02,0.005,0.05,1000,0.13,0.37668355236,0.39585141427,0.1978497634
0.2,100,0.02,0.005,0.05,2000,0.24,0.38833027534,0.39877199269,0.19841864306
0.2,100,0.02,0.005,0.05,3000,0.35,0.39074795156,0.40161876786,0.19833025515
0.2,100,0.02,0.005,0.05,5000,0.59,0.39425786323,0.40161287651,0.19853791376
0.2,100,0.02,0.005,0.05,10000,0.92,0.39253699231,0.40264909306,0.19830617146
0.2,100,0.02,0.005,0.1,1000,0.17,0.52649530268,0.34074776198,0.1978497634
0.2,100,0.02,0.005,0.1,2000,0.34,0.53722574029,0.34420397462,0.19841864306
0.2,100,0.02,0.005,0.1,3000,0.49,0.53613826561,0.34402769945,0.19833025515
0.2,100,0.02,0.005,0.1,5000,0.69,0.53696278811,0.34534690092,0.19853791376
0.2,100,0.02,0.005,0.1,10000,0.96,0.5395832544,0.34490990313,0.19830617146
0.2,100,0.02,0.01,0.02,1000,0.04,0.14034734236,0.46828938893,0.1978497634
0.2,100,0.02,0.01,0.02,2000,0.11,0.13412250255,0.46639399672,0.19841864306
0.2,100,0.02,0.01,0.02,3000,0.16,0.13471118213,0.46567933564,0.19833025515
0.2,100,0.02,0.01,0.02,5000,0.28,0.13905542236,0.47144114176,0.19853791376
0.2,100,0.02,0.01,0.02,10000,0.57,0.13935167329,0.47003130963,0.19830617146
0.2,100,0.02,0.01,0.05,1000,0.09,0.24964322829,0.3983749565,0.1978497634
0.2,100,0.02,0.01,0.05,2000,0.19,0.24392422387,0.40054056023,0.19841864306
0.2,100,0.02,0.01,0.05,3000,0.35,0.24607615684,0.4030642718,0.19833025515
0.2,100,0.02,0.01,0.05,5000,0.48,0.25487742089,0.40342010941,0.19853791376
0.2,100,0.02,0.01,0.05,10000,0.79,0.25172774522,0.40374888613,0.19830617146
0.2,100,0.02,0.01,0.1,1000,0.13,0.37532359444,0.3414047492,0.1978497634
0.2,100,0.02,0.01,0.1,2000,0.28,0.37164335435,0.34384877828,0.19841864306
0.2,100,0.02,0.01,0.1,3000,0.49,0.37756538027,0.34440684407,0.19833025515
0.2,100,0.02,0.01,0.1,5000,0.62,0.38615645285,0.34465733202,0.19853791376
0.2,100,0.02,0.01,0.1,10000,0.92,0.38407946474,0.34487564058,0.19830617146
0.2,100,0.02,0.02,0.02,1000,0.07,0.08857236044,0.47044439299,0.1978497634
