h2_p	N_causal_SNPs	vr	freq_r	k	N_samples	seed	median_mut	median_ref	p_wilcox	h2_rare	penetrance	h2_poly_est	var_y	mean_prs	mean_prs_cases	r_prs_est_with_rv	r_prs_est_without_rv	mean_prs_cases_est_with_rv	mean_prs_cases_est_without_rv
0.5	100	0.01	0.01	0.05	5000	76	0.619026628	0.754501075	0.020307316	0.01	0.21	0.327849435	1	-4.59E-17	0.744721536	0.977481473	0.976239459	0.017342797	0.037063629
0.5	100	0.01	0.01	0.05	5000	77	0.566384027	1.220857133	0.002876809	0.01	0.144578313	0.599818223	1	-8.86E-18	1.19040689	0.982519413	0.982752834	-0.153119415	-0.14053161
0.5	100	0.01	0.01	0.05	5000	78	0.800901718	1.100508587	0.008105735	0.01	0.151260504	0.547617637	1	-4.00E-17	1.103143166	0.985553194	0.985311647	-0.086573447	-0.078840994
0.5	100	0.01	0.01	0.05	5000	79	0.79547685	1.205724695	0.007008206	0.01	0.177570093	0.632961786	1	-5.20E-17	1.157583439	0.986703425	0.986708126	0.054390866	0.065751002
0.5	100	0.01	0.01	0.05	5000	80	0.916024256	1.180847033	0.080393723	0.01	0.107843137	0.585156645	1	-1.09E-17	1.188069246	0.978822309	0.979192833	-0.02845028	-0.016854206
0.5	100	0.01	0.01	0.05	5000	81	0.666355405	0.891056208	0.082306608	0.01	0.1875	0.387715193	1	-6.48E-17	0.886630842	0.97683112	0.976989709	0.014806879	0.028118278
0.5	100	0.01	0.01	0.05	5000	82	0.69760567	0.976042497	0.019908569	0.01	0.132653061	0.465422216	1	3.93E-17	1.002539454	0.981762838	0.981435481	-0.046378504	-0.035984512
0.5	100	0.01	0.01	0.05	5000	83	0.876276878	1.090662192	0.07206042	0.01	0.206521739	0.575549708	1	-2.18E-17	1.111138328	0.985431183	0.985410459	0.048420916	0.062645043
0.5	100	0.01	0.01	0.05	5000	84	0.510554053	0.827338371	0.021013804	0.01	0.252873563	0.358065102	1	-5.46E-17	0.805084378	0.979463513	0.978945522	-0.016565423	-0.004373671
0.5	100	0.01	0.01	0.05	5000	85	0.939077834	1.008817236	0.903930991	0.01	0.146341463	0.531446268	1	-3.53E-17	0.986657466	0.983193362	0.983265759	0.064731347	0.08138836
